Issues Reported,Count,maxwindspd
Jan '11,1,13.2903225806
Feb '11,0,15.2142857143
Mar '11,1,15.5161290323
Apr '11,7,15.4666666667
May '11,19,12.8709677419
Jun '11,11,12.0333333333
Jul '11,4,10.8064516129
Aug '11,4,11.6129032258
Sep '11,11,12
Oct '11,145,12.7419354839
Nov '11,7,11.8666666667
Dec '11,0,14.2258064516
Jan '12,2,14.2258064516
Feb '12,5,12.8275862069
Mar '12,18,13.064516129
Apr '12,23,13.5666666667
May '12,39,10.7741935484
Jun '12,184,11.7666666667
Jul '12,293,11.1935483871
Aug '12,431,11.0967741935
Sep '12,442,12.5333333333
Oct '12,488,12.1666666667
Nov '12,491,13.6333333333
Dec '12,316,13.6451612903
Jan '13,219,13.8709677419
Feb '13,110,15.2857142857
Mar '13,105,15.1290322581
Apr '13,135,15.2666666667
May '13,229,12.7096774194
Jun '13,242,11.7666666667
Jul '13,210,11.5806451613
Aug '13,415,11.1612903226
Sep '13,381,11.6
Oct '13,215,11.6451612903
Nov '13,172,13.8333333333
Dec '13,109,13.6451612903
Jan '14,190,13.5483870968
Feb '14,68,13.2857142857
Mar '14,171,14.9677419355
Apr '14,140,15.0666666667
May '14,104,13.4838709677
Jun '14,165,11.6
Jul '14,292,11.935483871
Aug '14,299,11.7419354839
Sep '14,401,12.1333333333
Oct '14,470,14.3870967742
Nov '14,152,14.0333333333
Dec '14,102,13.935483871
